Iteracoes,Erro,q
1.0,1.0,62500.0
2.0,0.8999999999999999,62500.0
3.0,0.81,62500.0
4.0,0.7290000000000001,62500.0
5.0,0.6561000000000003,62500.0
6.0,0.59049,62500.0
7.0,0.531441,62500.0
8.0,0.47829690000000014,62500.0
9.0,0.43046720999999977,62500.0
10.0,0.38742048900000015,62500.0
11.0,0.3486784401000005,62500.0
12.0,0.3138105960899997,62500.0
13.0,0.28242953648099967,62500.0
14.0,0.25418658283289997,62500.0
15.0,0.2287679245496106,62500.0
16.0,0.20589113209465015,62500.0
17.0,0.18530201888518505,62500.0
18.0,0.16677181699666477,62500.0
19.0,0.1500946352969983,62500.0
20.0,0.13508517176729917,62500.0
21.0,0.12157665459056943,62500.0
22.0,0.10941898913151249,62500.0
23.0,0.0984770902183616,62500.0
24.0,0.08862938119652597,62500.0
25.0,0.0797664430768723,62500.0
26.0,0.07145743858969666,62500.0
27.0,0.060572642711500535,62500.0
28.0,0.039933075565359744,62500.0
29.0,0.014122399476626413,62500.0
30.0,0.003864029832971738,62500.0
31.0,0.0009203255901972796,62500.0
32.0,0.00020098760009545913,62500.0
33.0,4.136354339223658e-05,62500.0
